a=-2.5000  b=-1.5000  e=0.0001
 i     a      b     x     f(x)    f(a)     f(b)    f1(a)    f1(b)
 0 -2.5000 -1.5000 -1.9982 -0.6355 0.5365 -1.2776 -1.8122 -0.7638
 1 -1.9982 -1.5000 -1.7486 -1.0225 0.5365 -1.2776 -1.2886 -0.7638
 2 -1.7486 -1.5000 -1.6241 -1.1665 0.5365 -1.2776 -1.0263 -0.7638
 3 -1.6241 -1.5000 -1.5620 -1.2262 0.5365 -1.2776 -0.8951 -0.7638
 4 -1.5620 -1.5000 -1.5310 -1.2529 0.5365 -1.2776 -0.8295 -0.7638
 5 -1.5310 -1.5000 -1.5155 -1.2655 0.5365 -1.2776 -0.7966 -0.7638
 6 -1.5155 -1.5000 -1.5078 -1.2716 0.5365 -1.2776 -0.7802 -0.7638
 7 -1.5078 -1.5000 -1.5039 -1.2747 0.5365 -1.2776 -0.7720 -0.7638
 8 -1.5039 -1.5000 -1.5019 -1.2761 0.5365 -1.2776 -0.7679 -0.7638
 9 -1.5019 -1.5000 -1.5010 -1.2769 0.5365 -1.2776 -0.7659 -0.7638
10 -1.5010 -1.5000 -1.5005 -1.2773 0.5365 -1.2776 -0.7648 -0.7638
11 -1.5005 -1.5000 -1.5002 -1.2774 0.5365 -1.2776 -0.7643 -0.7638
12 -1.5002 -1.5000 -1.5001 -1.2775 0.5365 -1.2776 -0.7641 -0.7638
13 -1.5001 -1.5000 -1.5001 -1.2776 0.5365 -1.2776 -0.7639 -0.7638
Минимум найден в точке X = -1.5001 F(x) = -1.2776
