  t        Y        YN      Yточн.  Yточн-Y  Yточн-YN   Шаг
0.00000  0.01250  0.02166  1.00000  0.98750  0.97834  0.0125
0.01250  0.04093  0.05227  0.74412  0.70318  0.69184  0.0250
0.03750  0.06802  0.07835  0.42910  0.36108  0.35075  0.0250
0.06250  0.09337  0.10348  0.27207  0.17870  0.16859  0.0250
0.08750  0.11833  0.12837  0.19959  0.08126  0.07121  0.0250
0.11250  0.14315  0.15315  0.17232  0.02917  0.01917  0.0250
0.13750  0.16050  0.16656  0.16921  0.00871  0.00265  0.0125
0.15000  0.18058  0.19033  0.17296  -0.00762  -0.01737  0.0250
0.17500  0.19757  0.20354  0.18670  -0.01087  -0.01685  0.0125
0.18750  0.21739  0.22704  0.19561  -0.02178  -0.03143  0.0250
0.21250  0.24139  0.25115  0.21583  -0.02556  -0.03532  0.0250
0.23750  0.26553  0.27525  0.23791  -0.02761  -0.03734  0.0250
0.26250  0.28955  0.29920  0.26091  -0.02864  -0.03829  0.0250
0.28750  0.30630  0.31211  0.28431  -0.02199  -0.02780  0.0125
0.30000  0.31887  0.32450  0.29607  -0.02280  -0.02843  0.0125
0.31250  0.33106  0.33657  0.30784  -0.02322  -0.02873  0.0125
0.32500  0.34947  0.35861  0.31960  -0.02987  -0.03900  0.0250
0.35000  0.37227  0.38157  0.34306  -0.02922  -0.03851  0.0250
0.37500  0.39527  0.40452  0.36636  -0.02891  -0.03816  0.0250
0.40000  0.41811  0.42726  0.38946  -0.02864  -0.03780  0.0250
0.42500  0.43398  0.43950  0.41235  -0.02163  -0.02716  0.0125
0.43750  0.45226  0.46107  0.42369  -0.02856  -0.03738  0.0250
0.46250  0.46761  0.47299  0.44620  -0.02141  -0.02679  0.0125
0.47500  0.48544  0.49406  0.45735  -0.02809  -0.03672  0.0250
0.50000  0.50685  0.51550  0.47943  -0.02742  -0.03607  0.0250
0.52500  0.52185  0.52705  0.50121  -0.02063  -0.02583  0.0125
0.53750  0.53911  0.54743  0.51199  -0.02712  -0.03544  0.0250
0.56250  0.55975  0.56805  0.53330  -0.02644  -0.03475  0.0250
0.58750  0.58025  0.58844  0.55428  -0.02597  -0.03416  0.0250
0.61250  0.60044  0.60848  0.57492  -0.02553  -0.03357  0.0250
0.63750  0.62026  0.62815  0.59519  -0.02507  -0.03296  0.0250
0.66250  0.63970  0.64742  0.61509  -0.02461  -0.03233  0.0250
0.68750  0.65873  0.66629  0.63461  -0.02413  -0.03168  0.0250
0.71250  0.67182  0.67636  0.65373  -0.01810  -0.02263  0.0125
0.72500  0.68158  0.68592  0.66314  -0.01845  -0.02278  0.0125
0.73750  0.69600  0.70300  0.67244  -0.02356  -0.03056  0.0250
0.76250  0.71341  0.72040  0.69073  -0.02268  -0.02967  0.0250
0.78750  0.73066  0.73750  0.70859  -0.02207  -0.02891  0.0250
0.81250  0.74751  0.75417  0.72601  -0.02150  -0.02816  0.0250
0.83750  0.76390  0.77037  0.74297  -0.02093  -0.02740  0.0250
0.86250  0.77982  0.78610  0.75947  -0.02035  -0.02662  0.0250
0.88750  0.79525  0.80133  0.77550  -0.01976  -0.02583  0.0250
0.91250  0.81019  0.81606  0.79104  -0.01915  -0.02502  0.0250
0.93750  0.82462  0.83028  0.80608  -0.01854  -0.02420  0.0250
0.96250  0.83440  0.83777  0.82062  -0.01378  -0.01715  0.0125
0.97500  0.84551  0.85096  0.82770  -0.01781  -0.02326  0.0250
1.00000  0.85854  0.86381  0.84147  -0.01707  -0.02234  0.0250
